 3897;BIOSEV S/A                                      ;BIOSEV              ;MS001;15527906000640;ESTRADA DA AGUA FRIA KM 54              ;ZONA RURAL          ;79150000;MARACAJU            ;MS;BIOSEV - UNIDADE MARACAJU                       ;06734941600;
 3899;BIOSEV S/A                                      ;BIOSEV              ;MS003;15527906000721;FAZ.PASSA TEMPO ROD.RIO BRILHANTE KM 321;ZONA RURAL          ;79130000;RIO BRILHANTE       ;MS;BIOSEV - UNIDADE PASSA TEMPO                    ;06734081400;
 4192;BIOSEV S/A                                      ;BIOSEV              ;NE001;15527906000802;VILA ESTIVAS - ROD.BR 101 NORTE KM 60   ;ZONA RURAL          ;59170000;ARES                ;RN;BIOSEV - UNIDADE ARES                           ;08432424800;
 4439;BIOSEV S/A                                      ;BIOSEV              ;MG002;15527906002937;VILA LUCIANIA, S/N                      ;ZONA RURAL          ;35590000;LAGOA DA PRATA      ;MG;BIOSEV - UNIDADE LAGOA DA PRATA                 ;03732619300;
 4445;BIOSEV S/A                                      ;BIOSEV              ;SP007;15527906003666;EST.VIC.JOSE SOUZA QUEIROZ FILHO KM 12  ;ZONA RURAL          ;13610970;LEME                ;SP;BIOSEV - UNIDADE LEME                           ;01935737200;
 4673;BIOSEV S/A                                      ;BIOSEV              ;MS003;15527906003585;RODOVIA BR 163, KM 329 + 600 M, S/N     ;FAZ.SANTA MARIA     ;79130000;RIO BRILHANTE       ;MS;BIOSEV - UNIDADE RIO BRILHANTE                  ;06734525700;
 4534;BM AGROINDUSTRIAL LTDA                          ;NENHUM              ;NE002;05694422000128;FAZENDA MONTIVIDEU, S/N                 ;ZONA RURAL          ;55515000;AMARAJI             ;PE;AMARAJI                                         ;08135531025;
 5045;BOM SUCESSO AGROINDUSTRIAL LTDA                 ;NENHUM              ;GO002;11092881000134;ROD GO 210 S/N KM 335,1                 ;ZONA RURAL          ;75600000;GOIATUBA            ;GO;BOM SUCESSO AGROINDUSTRIA                       ;06434082120;
 5220;BONELLA CARGAS EXPRESS LTDA                     ;NENHUM              ;SP001;06157434000186;RUA EDUARDO LOPES 187                   ;SANTO ANDRE         ;31230200;BELO HORIZONTE      ;MG;BONELLA CARGAS EXPRESS LTDA                     ;03134284459;
 4719;BP BIOENERGIA ITUIUTABA LTDA                    ;BP BIOCOMBUSTIVEIS  ;MG002;08164344000148;FAZENDA RECANTO                         ;ZONA RURAL          ;38300898;ITUIUTABA           ;MG;BP BIOENERGIA ITUIUTABA                         ;03432719500;
