103381;RAIZEN CENTRO SUL SA                    ;;G4 ;15527906003666;EST VICINAL JOSE DE S QUEIROZ FILHO, SN ;ZONA RURAL               ;13610970;LEME                     ;SP ;;
103395;PIONEIROS BIOENERGIA S A                ;;G4 ;51096477000153;FAZ SANTA MARIA DA MATA KM 6, SN        ;ZONA RURAL               ;15360000;SUD MENNUCCI             ;SP ;;
103400;ALCOAZUL S A ACUCAR E ALCOOL            ;;G4 ;44776409000170;ROD  CARAM REZEK, KM 16                 ;CORREGO AZUL             ;16078035;ARACATUBA                ;SP ;;
103419;BIOSEV SA                               ;;G3 ;15527906000640;FAZ ESTRADA DA AGUA FRIA KM 54, SN      ;ZONA RURAL               ;79150000;MARACAJU                 ;MS ;;
103432;USINA NOVA GALIA LTDA                   ;;G3 ;07300906000170;ROD GO 333 SEN RIO VERDE KM79 DIR 6KM,SN;ZONA RURAL               ;75980000;PARAUNA                  ;GO ;;
103433;BIOSEV SA                               ;;G4 ;15527906000136;AV BRIG FARIA LIMA  11 ANDAR, 1355      ;PINHEIROS                ;1452919;SAO PAULO                ;SP ;;
103434;RAIZEN CENTRO SUL SA                    ;;G1 ;15527906002937;VILA LUCIANIA, SN                       ;ZONA RURAL               ;35590970;LAGOA DA PRATA           ;MG ;;
103435;BIOSEV SA                               ;;G3 ;15527906000802;VILA ESTIVAS, SN                        ;ZONA RURAL               ;59170000;AREZ                     ;RN ;;
103436;BIOSEV SA                               ;;G3 ;15527906000993;FAZ IBURA GIASA, SN                     ;ZONA RURAL               ;58328000;PEDRAS DE FOGO           ;PB ;;
103437;RAIZEN CENTRO SUL SA                    ;;G3 ;15527906000721;FAZ PASSA TEMPO, SN                     ;ZONA RURAL               ;79130000;RIO BRILHANTE            ;MS ;;
103444;SA USINA CORURIPE ACUCAR E ALCOOL       ;;G3 ;12229415000110;FAZ TRIUNFO, S/N                        ;ZONA RURAL               ;57230001;CORURIPE                 ;AL ;;
103445;SA USINA CORURIPE ACUCAR E ALCOOL       ;;G1 ;12229415001435;EST CRUZEIRO DO SUL, S/N                ;ZONA RURAL               ;38130000;CAMPO FLORIDO            ;MG ;;
103446;SA USINA CORURIPE ACUCAR E ALCOOL       ;;G1 ;12229415001605;FAZ  BARREIRO, S/N                      ;ZONA RURAL               ;38295000;LIMEIRA DO OESTE         ;MG ;;
103447;SA USINA CORURIPE ACUCAR E ALCOOL       ;;G1 ;12229415001001;ROD  BR 497, S/N                        ;ZONA RURAL               ;38280000;ITURAMA                  ;MG ;;
103448;BIOSEV SA                               ;;G4 ;15527906003402;FAZENDA SAO CARLOS  SN                  ;ZONA RURAL               ;14870904;JABOTICABAL              ;SP ;;
103449;USINA ALVORADA DO OESTE LTDA            ;;G4 ;07361177000162;ROD. SPV, S N  29 KM 22                 ;RIBEIRAO CLARO           ;19360000;SANTO ANASTACIO          ;SP ;;
103452;USINA SANTA FE S A                      ;;G4 ;45281813000135;EST ANT FAZENDA DE ITAQUERE, SN         ;RURAL                    ;14920000;NOVA EUROPA              ;SP ;;
103487;COROL AGROENERGIA USINA DE ALCOOL LTDA  ;;G1 ;09167861000133;LOT 500 E 501 DA GLEBA ROLAND, S/N      ;DISTR. SAO MARTINHO      ;86609000;ROLANDIA                 ;PR ;;
103498;USINA BARRALCOOL S A                    ;;G3 ;33664228000135;ROD MT 246 KM 3  5, SN                  ;INDUSTRIAL               ;78390000;BARRA DO BUGRES          ;MT ;;
103501;DENUSA DESTILARIA NOVA UNIAO SA         ;;G3 ;00595322000120;ROD BR 060 KM 274, SN                   ;ZONA RURAL               ;75950000;JANDAIA                  ;GO ;;
103507;TEREOS ACUCAR E ENERGIA BRASIL S A      ;;G4 ;47080619003051;FAZ TANABI, SN                          ;ZONA RURAL               ;15170000;TANABI                   ;SP ;;
103525;VIRGOLINO DE OLIVEIRA SA AC ALCOOL      ;;G4 ;49911589000179;FAZENDA SANTO ANTONIO, SN               ;ZONA RURAL               ;15960000;ARIRANHA                 ;SP ;;
103530;JALLES MACHADO S A                      ;;G3 ;02635522000195;FAZ SAO PEDRO ROD GO 080 KM 185,SN      ;ZONA RURAL               ;76388899;GOIANESIA                ;GO ;;
103537;MALOSSO BIOENERGIA SA                   ;;G4 ;49976251000103;COL FAZ STA ADELINA CX POST 100, SN     ;BOA VISTA S LOURENCO     ;14900000;ITAPOLIS                 ;SP ;;
103552;ANTONIO RUETTE AGROINDUSTRIAL LTDA      ;;G4 ;51843514009600;ROD BR 153 KM 124+ 500 METROS, SN       ;FAZ MONTEREY             ;15225000;UBARANA                  ;SP ;;
103558;CENTRAL ENERG MORENO ACUCAR E ALCOOL LT ;;G4 ;45765914000181;ROD SP 253 KM 160 CX POSTAL 01, SN      ;ZONA RURAL               ;14210000;LUIS ANTONIO             ;SP ;;
103559;COPLASA ACUCAR E ALCOOL LTDA            ;;G4 ;05928246000141;EST VICINAL GOV MARIO COVAS, S/N        ;FAZ. CACOS DE COCO       ;15260000;PLANALTO                 ;SP ;;
103588;MOEMA BIOENERGIA S.A                    ;;G4 ;49972326000170;FAZ MOEMA,SN                            ;ZONA RURAL               ;15480000;ORINDIUVA                ;SP ;;
103596;RAIZEN CENTRO SUL PAULISTA S.A          ;;G4 ;49213747000117;FAZ INVERNADA, SN                       ;ZONA RURAL               ;14640000;MORRO AGUDO              ;SP ;;
103598;VALE DO IVAI SA ACUCAR E ALCOOL         ;;G1 ;75177857000180;EST MARISA, SN                          ;RURAL                    ;86945000;SAO PEDRO DO IVAI        ;PR ;;
103599;VALE DO IVAI SA ACUCAR E ALCOOL         ;;G1 ;75177857000261;ROD BR 153,  SN                         ;MARGEM DO RIO GRANDE     ;38230000;FRONTEIRA                ;MG ;;
103600;VALE DO IVAI SA ACUCAR E ALCOOL         ;;G1 ;75177857000342;ROD PR 455,  SN                         ;SAO MIGUEL CAMBUI        ;86990000;MARIALVA                 ;PR ;;
103602;GOIASA GOIATUBA ALCOOL LTDA             ;;G3 ;02773950000184;ROD GO 040 KM 194 ACE 7KM DIR, SN       ;ZONA RURAL               ;75600000;GOIATUBA                 ;GO ;;
103609;CENT ENERG MORENO M  APRAZ  AC  ALC LTDA;;G4 ;04171382000177;ROD JOAO PEDRO REZENDE, SN              ;ZONA RURAL               ;15150000;MONTE APRAZIVEL          ;SP ;;
103635;ALCOESTE DESTILARIA FERNANDOPOLIS SA    ;;G4 ;43545284000104;ROD EUCLIDES CUNHA KM 562, SN           ;ZONA RURAL               ;15600000;FERNANDOPOLIS            ;SP ;;
103653;MENDO SAMPAIO SA                        ;;G3 ;10776540004374;VL BERNARDO LOPES, SN                   ;BERNARDO LOPES           ;57240000;SAO MIGUEL DOS CAMPOS    ;AL ;;
103659;BIOPAV SA ACUCAR E ALCOOL               ;;G4 ;08614277000116;EST MUN CRD 339, S N                    ;ZONA RURAL               ;16265000;BREJO ALEGRE             ;SP ;;
103696;UNION DISTILLERY MALTWHISKY DO BRASIL LT;;G2 ;87846432000104;AV JULIO DE OLIVEIRA, 312               ;CENTRO                   ;95330000;VERANOPOLIS              ;RS ;;
103697;USINA SAO JOSE SA                       ;;G3 ;10362820000187;ROD EST  PE 41 KM 10 E 7OO METROS,  SN  ;TRES LADEIRAS            ;53610970;IGARASSU                 ;PE ;;
103698;USACIGA ACUCAR ALCOOL ENERGIA ELET SA   ;;G1 ;75031633000166;ROD PR 82  KM 74, SN                    ;ZONA RURAL               ;87820000;CIDADE GAUCHA            ;PR ;;
103713;USINA TRAPICHE SA                       ;;G3 ;10820645000124;ENG ROSARIO, SN                         ;ZONA RURAL               ;55580000;SIRINHAEM                ;PE ;;
